评论ID,用户ID,评论内容,时间,日期,平台,点赞数,评论数,转发数
comment_001999,user_00060,华为的服务一般化，中规中矩。,2025-01-24 17:57:54,2025-01-24,小咖秀,100,37,19
comment_002360,user_00735,这个动态中规中矩，没什么特别的。,2025-01-24 18:19:47,2025-01-24,腾讯视频,339,14,5
comment_002047,user_00621,华为的服务一般般，中规中矩。,2025-01-24 18:37:22,2025-01-24,豆瓣,296,55,71
comment_003959,user_00338,终于完成了项目了，很给力！,2025-01-24 21:06:02,2025-01-24,快手,149,64,38
comment_000899,user_00171,这个景区很精彩，下次还要来。,2025-01-24 22:36:30,2025-01-24,B站,288,20,53
comment_004943,user_00021,新的电子书很开心，性价比很高。,2025-01-25 00:55:15,2025-01-25,小红书,171,12,56
comment_001065,user_00957,新的路由器很满意，性价比很高。,2025-01-25 03:07:36,2025-01-25,快手,37,7,6
comment_005161,user_00716,今天的蛋糕很开心，推荐大家尝试。,2025-01-25 04:00:49,2025-01-25,B站,931,168,113
comment_000526,user_00182,这位老师太很精彩了，支持！,2025-01-25 08:55:18,2025-01-25,小红书,567,224,78
comment_000564,user_00134,这个音乐节太棒了，单曲循环了。,2025-01-25 09:08:20,2025-01-25,百度贴吧,592,196,51
comment_001036,user_00614,今天天气很完美，适合逛了商场。,2025-01-25 10:23:00,2025-01-25,今日头条,248,105,58
comment_001706,user_00038,新的冰箱很生气，性价比很低。,2025-01-25 11:10:22,2025-01-25,西瓜视频,80,36,21
comment_005081,user_00506,这个项目组一般般，表现平平。,2025-01-25 11:39:30,2025-01-25,快手,244,86,22
comment_005120,user_00788,这本哲学书很优秀，值得一读。,2025-01-25 17:42:52,2025-01-25,秒拍,775,115,31
comment_005262,user_00515,毕业礼物很满意，收到很开心。,2025-01-25 19:23:55,2025-01-25,秒拍,712,314,211
comment_003701,user_00950,这本书很喜欢，值得一读。,2025-01-25 20:19:24,2025-01-25,芒果TV,653,220,36
comment_001872,user_00563,这个APP太差劲了，体验很差。,2025-01-25 20:21:21,2025-01-25,火山小视频,79,1,16
comment_000762,user_00601,海底捞的服务很糟糕，太差劲了。,2025-01-25 20:24:51,2025-01-25,知乎,42,6,9
comment_003837,user_00049,今天天气中规中矩，不影响计划。,2025-01-25 21:39:58,2025-01-25,B站,321,115,107
comment_003233,user_00575,这个体育馆很差，下次不会来了。,2025-01-25 23:48:01,2025-01-25,豆瓣,98,41,32
comment_003423,user_00299,这个性能很优秀，解决了我的问题。,2025-01-26 04:08:58,2025-01-26,秒拍,392,154,7
comment_003876,user_00172,今天参加了聚会，很糟，很失望。,2025-01-26 04:16:09,2025-01-26,优酷,7,0,1
comment_001881,user_00436,这部小说很精彩，值得一读。,2025-01-26 05:39:30,2025-01-26,美拍,858,67,241
comment_004843,user_00876,今天天气很完美，适合去了公园。,2025-01-26 06:07:56,2025-01-26,B站,729,276,126
comment_002551,user_00286,终于尝试了新事物了，很满意！,2025-01-26 09:34:56,2025-01-26,秒拍,569,226,82
comment_005194,user_00208,这本报纸很满意，值得一读。,2025-01-26 10:40:59,2025-01-26,西瓜视频,609,27,150
comment_005699,user_00167,这部纪录片很烂，看得很无聊。,2025-01-26 12:09:34,2025-01-26,快手,75,19,21
comment_004853,user_00060,今天天气没什么特别，不影响计划。,2025-01-26 13:26:58,2025-01-26,映客,30,11,7
comment_001035,user_00933,这个这个设计没什么特别，没什么感觉。,2025-01-26 13:40:10,2025-01-26,今日头条,490,230,150
comment_001446,user_00338,这个高尔夫球场很满意，下次还要来。,2025-01-26 13:50:43,2025-01-26,优酷,198,25,49
comment_005071,user_00304,这首歌很完美，单曲循环了。,2025-01-26 15:26:12,2025-01-26,西瓜视频,514,164,15
comment_000255,user_00888,这张专辑很好，单曲循环了。,2025-01-26 16:10:22,2025-01-26,今日头条,321,154,47
comment_001606,user_00697,这个价格很优秀，解决了我的问题。,2025-01-26 17:07:57,2025-01-26,爱奇艺,616,223,115
comment_002690,user_00335,这本报纸很给力，值得一读。,2025-01-26 18:32:12,2025-01-26,芒果TV,543,166,167
comment_003219,user_00165,这部电视剧很出色，看得很开心。,2025-01-26 19:04:15,2025-01-26,小咖秀,650,39,9
comment_005522,user_00202,这个古典一般化，听过就忘了。,2025-01-26 19:32:46,2025-01-26,优酷,163,20,27
comment_001926,user_00373,今天的中餐普通，没什么亮点。,2025-01-27 00:57:15,2025-01-27,秒拍,206,50,19
comment_003052,user_00556,这个手感很开心，解决了我的问题。,2025-01-27 01:29:47,2025-01-27,秒拍,466,93,125
comment_004547,user_00104,这款单机游戏很生气，玩得很生气。,2025-01-27 01:59:30,2025-01-27,百度贴吧,60,5,19
comment_005535,user_00240,新的游戏机很精彩，性价比很高。,2025-01-27 02:10:00,2025-01-27,爱奇艺,447,222,134
comment_000415,user_00742,物流服务很精彩，五星好评！,2025-01-27 03:30:24,2025-01-27,腾讯视频,182,84,21
comment_005206,user_00976,这个音乐厅很开心，下次还要来。,2025-01-27 06:33:34,2025-01-27,火山小视频,188,93,8
comment_000818,user_00186,今天的拉面寻常，没什么亮点。,2025-01-27 08:18:55,2025-01-27,芒果TV,319,78,43
comment_003602,user_00833,这个小镇没什么特别，和预期差不多。,2025-01-27 09:02:22,2025-01-27,B站,144,21,28
comment_004795,user_00724,这个科学家太很精彩了，支持！,2025-01-27 14:35:37,2025-01-27,快手,831,30,5
comment_004007,user_00608,这个性能很赞，解决了我的问题。,2025-01-27 14:42:53,2025-01-27,今日头条,382,171,126
comment_001815,user_00728,这部战争片很精彩，看得很开心。,2025-01-27 16:27:54,2025-01-27,B站,748,11,107
comment_005590,user_00261,字节跳动的服务很失望，太差劲了。,2025-01-27 18:35:29,2025-01-27,火山小视频,5,2,0
comment_003009,user_00322,今天天气很失望，影响了计划。,2025-01-27 20:07:37,2025-01-27,快手,57,7,7
comment_000538,user_00525,这个岛屿寻常，和预期差不多。,2025-01-27 23:11:02,2025-01-27,小红书,321,87,76
comment_002497,user_00008,完成了项目平平，可有可无。,2025-01-28 00:15:03,2025-01-28,芒果TV,486,233,8
comment_002219,user_00253,这个这个建议普通，没什么感觉。,2025-01-28 00:27:53,2025-01-28,百度贴吧,365,93,77
comment_000275,user_00928,这个这个概念寻常，没什么感觉。,2025-01-28 03:45:36,2025-01-28,爱奇艺,62,12,0
comment_003613,user_00510,这个这个方法很糟糕，很糟糕。,2025-01-28 03:47:23,2025-01-28,秒拍,21,10,2
comment_003685,user_00844,这位作家的表现平淡，一般般。,2025-01-28 03:54:21,2025-01-28,微信,41,6,1
comment_003241,user_00026,这个支付软件很惊艳，体验很好。,2025-01-28 07:25:38,2025-01-28,抖音,803,33,137
comment_005167,user_00722,维修服务很精彩，五星好评！,2025-01-28 09:32:21,2025-01-28,芒果TV,346,142,58
comment_003544,user_00688,终于实现了目标了，很赞！,2025-01-28 10:27:29,2025-01-28,优酷,944,143,172
comment_001299,user_00105,终于升职了了，结果很糟心！,2025-01-28 10:51:01,2025-01-28,小咖秀,81,31,24
comment_004197,user_00896,这部悬疑片很糟心，看得很无聊。,2025-01-28 17:10:04,2025-01-28,微信,100,7,19
comment_001886,user_00500,这个体育游戏普通，玩了但没上瘾。,2025-01-28 18:54:15,2025-01-28,微博,249,35,32
comment_002601,user_00847,今天的烧烤寻常，没什么亮点。,2025-01-28 19:30:26,2025-01-28,芒果TV,432,73,33
comment_002082,user_00868,这个体育馆很失望，下次不会来了。,2025-01-28 20:15:06,2025-01-28,小红书,36,10,6
comment_000792,user_00359,这个工具很讨厌，体验很差。,2025-01-28 21:41:18,2025-01-28,B站,90,25,8
comment_003313,user_00699,今天天气一般般，不影响计划。,2025-01-28 23:41:15,2025-01-28,西瓜视频,5,2,0
comment_001460,user_00366,今天天气太差劲了，影响了计划。,2025-01-29 00:39:49,2025-01-29,知乎,61,13,18
comment_005916,user_00688,这个小程序太差劲了，体验很差。,2025-01-29 03:56:00,2025-01-29,映客,91,2,28
comment_000209,user_00697,华为的服务很糟，太差劲了。,2025-01-29 05:59:50,2025-01-29,西瓜视频,31,13,4
comment_004788,user_00459,新的耳机很糟，性价比很低。,2025-01-29 06:47:14,2025-01-29,百度贴吧,14,6,4
comment_002466,user_00103,完成了项目很精彩，很有意义。,2025-01-29 14:40:29,2025-01-29,映客,727,198,120
comment_004736,user_00269,这个软件一般般，能用但有缺陷。,2025-01-29 15:50:50,2025-01-29,微博,441,73,6
comment_000168,user_00043,这个体育游戏很糟心，玩得很生气。,2025-01-29 17:25:16,2025-01-29,西瓜视频,88,11,11
comment_003777,user_00546,京东的服务很给力，很满意。,2025-01-29 18:20:33,2025-01-29,微博,155,19,21
comment_005827,user_00577,终于买了新车了，很优秀！,2025-01-29 19:50:02,2025-01-29,知乎,136,1,30
comment_005501,user_00150,终于生了宝宝了，结果很失望！,2025-01-29 20:03:56,2025-01-29,豆瓣,89,20,11
comment_003754,user_00469,这款手游很精彩，玩得很尽兴。,2025-01-29 21:30:53,2025-01-29,豆瓣,481,115,3
comment_001486,user_00877,这个产品真的很差，很失望！,2025-01-29 22:41:25,2025-01-29,芒果TV,26,0,3
comment_004535,user_00447,这个平台很优秀，体验很好。,2025-01-29 23:10:08,2025-01-29,抖音,182,3,23
comment_002329,user_00073,今天天气一般化，不影响计划。,2025-01-30 00:13:01,2025-01-30,百度贴吧,338,131,65
comment_004783,user_00248,这个娱乐软件寻常，能用但有缺陷。,2025-01-30 00:22:34,2025-01-30,秒拍,187,89,33
comment_003036,user_00669,这个城市很差，下次不会来了。,2025-01-30 02:02:55,2025-01-30,豆瓣,29,0,5
comment_005429,user_00970,这个这个猜想很开心，很有创意。,2025-01-30 03:35:16,2025-01-30,知乎,988,189,293
comment_002676,user_00030,这款单机游戏太棒了，玩得很尽兴。,2025-01-30 06:05:51,2025-01-30,小咖秀,833,269,170
comment_004065,user_00320,今天学了新技能，很优秀。,2025-01-30 06:45:57,2025-01-30,小咖秀,457,132,43
comment_004048,user_00591,美团的服务普通，中规中矩。,2025-01-30 10:01:12,2025-01-30,芒果TV,368,173,41
comment_004519,user_00055,星巴克的服务太差劲了，太差劲了。,2025-01-30 10:06:15,2025-01-30,快手,21,5,4
comment_005638,user_00384,今天看了电影，很精彩。,2025-01-30 11:38:19,2025-01-30,芒果TV,574,121,135
comment_004316,user_00433,这个这个理念太棒了，很有创意。,2025-01-30 13:00:26,2025-01-30,豆瓣,66,30,9
comment_005221,user_00182,这个产品真的很棒，很精彩！,2025-01-30 14:29:11,2025-01-30,火山小视频,110,10,8
comment_002020,user_00982,这个销售组平淡，表现平平。,2025-01-30 16:15:09,2025-01-30,小红书,74,17,14
comment_004250,user_00924,这个这个计划很无聊，很糟糕。,2025-01-30 16:59:19,2025-01-30,映客,11,0,1
comment_000955,user_00556,乔迁礼物普通，收了但没惊喜。,2025-01-30 17:33:07,2025-01-30,映客,127,9,18
comment_002148,user_00253,今天天气一般，不影响计划。,2025-01-30 19:01:00,2025-01-30,腾讯视频,52,18,13
comment_003999,user_00394,终于退休了了，很好！,2025-01-30 22:12:30,2025-01-30,西瓜视频,96,39,0
comment_000681,user_00816,这个模拟游戏很差，玩得很生气。,2025-01-30 22:50:50,2025-01-30,美拍,87,38,7
comment_002342,user_00936,今天的烤肉很满意，推荐大家尝试。,2025-01-31 00:55:09,2025-01-31,小红书,190,81,3
comment_001370,user_00483,这个科学家的表现一般般，一般般。,2025-01-31 02:20:39,2025-01-31,小红书,349,15,27
comment_000794,user_00595,肯德基的服务很烦人，太差劲了。,2025-01-31 03:23:35,2025-01-31,快手,41,6,7
comment_003551,user_00114,新的烤箱一般般，能用但不算好。,2025-01-31 04:55:41,2025-01-31,火山小视频,347,57,31
comment_002516,user_00818,这个产品真的很差，很糟！,2025-01-31 05:10:59,2025-01-31,芒果TV,75,25,10
comment_001629,user_00872,乔迁礼物很满意，收到很开心。,2025-01-31 05:42:16,2025-01-31,小咖秀,29,3,3
comment_001249,user_00866,升职了了，没什么特别的感觉。,2025-01-31 06:34:06,2025-01-31,芒果TV,27,10,1
comment_004596,user_00442,新的电子书寻常，能用但不算好。,2025-01-31 06:58:43,2025-01-31,爱奇艺,364,93,91
comment_002443,user_00937,今天的甜点很精彩，推荐大家尝试。,2025-01-31 07:33:38,2025-01-31,芒果TV,317,126,69
comment_003234,user_00722,这个社交软件一般般，能用但有缺陷。,2025-01-31 07:52:06,2025-01-31,抖音,350,91,13
comment_003303,user_00256,海底捞的服务很糟糕，太差劲了。,2025-01-31 08:36:22,2025-01-31,快手,38,10,12
comment_001994,user_00688,这个轻音乐很糟糕，听了一遍就不想再听。,2025-01-31 11:38:48,2025-01-31,微博,69,29,3
comment_002134,user_00227,这个产品真的很棒，很出色！,2025-01-31 12:01:46,2025-01-31,抖音,697,25,69
comment_002030,user_00083,这个这个设计很满意，很有创意。,2025-01-31 13:05:43,2025-01-31,知乎,938,229,109
comment_001967,user_00285,今天天气很糟心，影响了计划。,2025-01-31 14:32:23,2025-01-31,西瓜视频,2,1,0
comment_001412,user_00584,慰问礼物一般化，收了但没惊喜。,2025-01-31 15:52:28,2025-01-31,微博,481,38,42
comment_001924,user_00249,今天天气很失望，影响了计划。,2025-01-31 17:09:12,2025-01-31,西瓜视频,58,15,4
comment_000120,user_00269,终于结婚了了，很精彩！,2025-01-31 19:08:51,2025-01-31,百度贴吧,574,45,170
comment_000536,user_00018,这个商场很失望，下次不会来了。,2025-01-31 20:03:01,2025-01-31,优酷,22,1,2
comment_004672,user_01000,今天做了瑜伽，很讨厌，很失望。,2025-01-31 22:28:36,2025-01-31,豆瓣,20,6,1
comment_001002,user_00014,培训服务一般，基本满足需求。,2025-01-31 23:16:14,2025-01-31,快手,72,2,12
comment_005726,user_00357,今天天气很糟，影响了计划。,2025-02-01 00:24:47,2025-02-01,豆瓣,28,13,3
comment_005577,user_00404,安装服务很精彩，五星好评！,2025-02-01 01:08:28,2025-02-01,快手,135,36,34
comment_003189,user_00412,这位企业家太很精彩了，支持！,2025-02-01 02:30:54,2025-02-01,小红书,485,62,119
comment_003981,user_00987,今天的寿司寻常，没什么亮点。,2025-02-01 04:31:55,2025-02-01,百度贴吧,49,3,13
comment_004724,user_00519,这个城市很喜欢，下次还要来。,2025-02-01 05:28:46,2025-02-01,豆瓣,791,70,88
comment_003980,user_00153,这位律师的表现一般，一般般。,2025-02-01 06:23:36,2025-02-01,知乎,179,61,5
comment_002319,user_00318,今天天气普通，不影响计划。,2025-02-01 07:33:30,2025-02-01,B站,85,21,13
comment_005514,user_00408,拼多多的服务普通，中规中矩。,2025-02-01 08:20:58,2025-02-01,快手,22,10,3
comment_000211,user_00368,今天的韩餐很出色，推荐大家尝试。,2025-02-01 09:58:36,2025-02-01,抖音,503,146,115
comment_002201,user_00425,今天的海鲜很糟糕，不推荐。,2025-02-01 11:36:06,2025-02-01,抖音,0,0,0
comment_005508,user_00495,培训服务平淡，基本满足需求。,2025-02-01 12:09:04,2025-02-01,西瓜视频,170,81,38
comment_003817,user_00385,这个组织很开心，表现出色！,2025-02-01 12:17:48,2025-02-01,腾讯视频,325,161,79
comment_001316,user_00598,获得了奖项了，没什么特别的感觉。,2025-02-01 13:17:51,2025-02-01,映客,98,32,12
comment_005473,user_00695,今天天气普通，不影响计划。,2025-02-01 13:59:02,2025-02-01,火山小视频,279,136,38
comment_003180,user_00734,这个演唱会很糟糕，听了一遍就不想再听。,2025-02-01 14:06:27,2025-02-01,微信,68,3,11
comment_002203,user_00859,这个公园很糟，下次不会来了。,2025-02-01 15:04:07,2025-02-01,快手,50,9,8
comment_004424,user_00121,今天天气一般，不影响计划。,2025-02-01 18:41:50,2025-02-01,百度贴吧,294,8,91
comment_003034,user_00283,今天逛了商场，很烂，很失望。,2025-02-01 19:01:01,2025-02-01,爱奇艺,70,2,8
comment_003526,user_00038,礼包没什么特别，收了但没惊喜。,2025-02-01 19:43:54,2025-02-01,今日头条,263,98,61
comment_004052,user_00296,这个平台很不爽，体验很差。,2025-02-01 22:55:05,2025-02-01,B站,37,17,2
comment_004617,user_00234,这本艺术书很开心，值得一读。,2025-02-02 04:40:53,2025-02-02,今日头条,410,145,24
comment_000798,user_00969,这个APP平平，能用但有缺陷。,2025-02-02 06:35:22,2025-02-02,火山小视频,305,41,85
comment_000654,user_00148,今天天气很讨厌，影响了计划。,2025-02-02 07:06:00,2025-02-02,微博,72,25,2
comment_000541,user_00905,尝试了新事物很给力，很有意义。,2025-02-02 07:25:23,2025-02-02,映客,424,177,21
comment_000142,user_00047,这个公园没什么特别，和预期差不多。,2025-02-02 08:16:20,2025-02-02,豆瓣,494,29,131
comment_003902,user_00303,礼品普通，收了但没惊喜。,2025-02-02 08:56:17,2025-02-02,豆瓣,53,15,7
comment_001283,user_00850,这本随笔寻常，可读可不读。,2025-02-02 11:57:56,2025-02-02,百度贴吧,193,33,54
comment_001271,user_00670,今天天气很完美，适合参加了聚会。,2025-02-02 12:09:49,2025-02-02,爱奇艺,104,9,12
comment_004682,user_00449,这部奇幻片一般般，没什么印象。,2025-02-02 13:41:52,2025-02-02,小红书,258,59,21
comment_003990,user_00652,这部文艺片很差，看得很无聊。,2025-02-02 13:49:07,2025-02-02,快手,21,9,1
comment_005822,user_00779,礼包一般，收了但没惊喜。,2025-02-02 16:43:47,2025-02-02,抖音,290,119,86
comment_001712,user_00340,这本科技书很赞，值得一读。,2025-02-02 16:48:22,2025-02-02,今日头条,48,9,0
comment_001739,user_00587,这本文学书很糟糕，不值得读。,2025-02-02 17:01:21,2025-02-02,美拍,66,22,14
comment_003081,user_00487,这个咖啡馆没什么特别，和预期差不多。,2025-02-02 17:24:31,2025-02-02,芒果TV,289,8,64
comment_002305,user_00587,这个设计软件寻常，能用但有缺陷。,2025-02-02 18:04:40,2025-02-02,映客,135,45,19
comment_004433,user_00666,必胜客的服务没什么特别，中规中矩。,2025-02-02 21:00:18,2025-02-02,火山小视频,488,218,26
comment_002779,user_00425,网约车服务很满意，五星好评！,2025-02-02 21:11:24,2025-02-02,今日头条,253,119,1
comment_003324,user_00636,这部纪录片很开心，看得很开心。,2025-02-03 00:56:44,2025-02-03,小红书,96,28,6
comment_004716,user_00458,今天参加了会议，一切正常。,2025-02-03 00:58:03,2025-02-03,腾讯视频,297,122,98
comment_001816,user_00383,这本哲学书很糟，不值得读。,2025-02-03 03:19:26,2025-02-03,快手,23,6,7
comment_000246,user_00112,新的充电宝很精彩，性价比很高。,2025-02-03 03:26:37,2025-02-03,美拍,464,164,2
comment_003955,user_00840,今天的西餐很糟糕，不推荐。,2025-02-03 03:32:46,2025-02-03,优酷,14,0,0
comment_001424,user_00725,买了新房子很给力，很有意义。,2025-02-03 03:46:22,2025-02-03,今日头条,691,286,85
comment_003173,user_00246,这个软件很精彩，体验很好。,2025-02-03 04:04:18,2025-02-03,爱奇艺,395,49,11
comment_002808,user_00194,终于升职了了，结果很无聊！,2025-02-03 04:25:00,2025-02-03,映客,59,2,16
comment_002393,user_00215,这部喜剧片普通，没什么印象。,2025-02-03 05:07:58,2025-02-03,百度贴吧,398,163,119
comment_005299,user_00492,培训服务很赞，五星好评！,2025-02-03 05:51:02,2025-02-03,百度贴吧,318,54,6
comment_002555,user_00784,拿到了奖金寻常，可有可无。,2025-02-03 06:12:13,2025-02-03,优酷,107,17,22
comment_001181,user_00364,这本随笔很满意，值得一读。,2025-02-03 06:51:48,2025-02-03,爱奇艺,423,149,7
comment_001927,user_00667,礼券很讨厌，收到很不开心。,2025-02-03 12:09:22,2025-02-03,映客,84,21,2
comment_002781,user_00262,这本经济书很失望，不值得读。,2025-02-03 12:33:26,2025-02-03,秒拍,89,35,4
comment_003800,user_00080,这个平台很赞，体验很好。,2025-02-03 12:36:37,2025-02-03,知乎,961,456,62
comment_004568,user_00049,这个公园很给力，下次还要来。,2025-02-03 18:09:11,2025-02-03,映客,483,120,19
comment_000343,user_00260,这个单曲很烂，听了一遍就不想再听。,2025-02-03 18:47:37,2025-02-03,映客,64,3,9
comment_001979,user_00353,这个小游戏没什么特别，玩了但没上瘾。,2025-02-03 22:27:07,2025-02-03,小咖秀,449,162,106
comment_000893,user_00892,今天做了运动，一切正常。,2025-02-03 23:33:55,2025-02-03,快手,36,11,2
comment_005213,user_00134,这部音乐片很无聊，看得很无聊。,2025-02-04 01:02:04,2025-02-04,B站,89,17,6
comment_005196,user_00710,这个导演太很满意了，支持！,2025-02-04 01:11:15,2025-02-04,百度贴吧,506,40,81
comment_002409,user_00040,毕业了很棒，很有意义。,2025-02-04 01:23:09,2025-02-04,豆瓣,821,99,49
comment_000288,user_00252,设计服务很糟，一星差评！,2025-02-04 04:20:19,2025-02-04,快手,51,25,7
comment_002275,user_00190,支付服务很满意，五星好评！,2025-02-04 05:06:29,2025-02-04,抖音,857,337,262
comment_001733,user_00733,小米的服务太棒了，很满意。,2025-02-04 06:30:56,2025-02-04,腾讯视频,946,89,177
comment_002320,user_00004,这本科技书寻常，可读可不读。,2025-02-04 06:57:53,2025-02-04,爱奇艺,79,30,26
comment_004058,user_00284,今天参加了聚会，很糟，很失望。,2025-02-04 07:17:15,2025-02-04,今日头条,56,28,1
comment_004036,user_00866,结婚礼物很出色，收到很开心。,2025-02-04 07:26:45,2025-02-04,小咖秀,864,40,111
comment_005977,user_00430,升职了很糟糕，浪费时间。,2025-02-04 09:40:32,2025-02-04,爱奇艺,57,16,10
comment_002940,user_00625,这位律师的表现一般，一般般。,2025-02-04 13:18:31,2025-02-04,小红书,238,21,46
comment_003513,user_00868,这个材质很满意，解决了我的问题。,2025-02-04 14:13:05,2025-02-04,百度贴吧,632,306,203
comment_002129,user_00765,实现了目标太差劲了，浪费时间。,2025-02-04 17:15:34,2025-02-04,映客,48,9,14
comment_001757,user_00897,这个速度寻常，可用但不常用。,2025-02-04 18:01:32,2025-02-04,火山小视频,112,46,17
comment_001654,user_00789,这部悬疑片很惊艳，看得很开心。,2025-02-04 19:12:53,2025-02-04,抖音,671,289,61
comment_005066,user_00542,这个操作太差劲了，没解决我的问题。,2025-02-04 19:21:24,2025-02-04,优酷,78,20,13
comment_001197,user_00867,今天玩了桌游，很生气，很失望。,2025-02-04 20:17:56,2025-02-04,爱奇艺,70,19,0
comment_003806,user_00380,今天的中餐很出色，推荐大家尝试。,2025-02-04 22:51:37,2025-02-04,抖音,835,259,211
comment_004120,user_00545,这个部门平淡，表现平平。,2025-02-05 00:39:50,2025-02-05,秒拍,203,74,13
comment_003514,user_00214,这个部门中规中矩，表现平平。,2025-02-05 01:09:23,2025-02-05,知乎,272,70,69
comment_000928,user_00101,这个代表团寻常，表现平平。,2025-02-05 02:38:57,2025-02-05,小红书,153,17,49
comment_002147,user_00392,这个部门很开心，表现出色！,2025-02-05 03:09:55,2025-02-05,优酷,778,352,70
comment_001284,user_00807,物流服务很好，五星好评！,2025-02-05 04:12:08,2025-02-05,腾讯视频,183,45,22
comment_003093,user_00344,开始了新工作了，没什么特别的感觉。,2025-02-05 04:44:55,2025-02-05,美拍,296,70,52
comment_001802,user_00767,新的智能音箱很差，性价比很低。,2025-02-05 06:49:42,2025-02-05,爱奇艺,90,35,4
comment_001295,user_00474,这部喜剧片平淡，没什么印象。,2025-02-05 11:00:31,2025-02-05,优酷,260,12,67
comment_001385,user_00969,这个健身房很惊艳，下次还要来。,2025-02-05 12:16:47,2025-02-05,腾讯视频,324,103,81
comment_004650,user_00108,新的洗衣机平淡，能用但不算好。,2025-02-05 13:18:50,2025-02-05,西瓜视频,471,226,32
comment_000777,user_00071,新的投影仪一般，能用但不算好。,2025-02-05 15:03:58,2025-02-05,今日头条,383,116,125
comment_003864,user_00859,这本书一般化，可读可不读。,2025-02-05 15:21:05,2025-02-05,爱奇艺,184,9,17
comment_000902,user_00788,这个重量很完美，解决了我的问题。,2025-02-05 16:25:12,2025-02-05,微博,249,95,42
comment_003778,user_00818,今天的汉堡很烂，不推荐。,2025-02-05 17:05:19,2025-02-05,微信,0,0,0
comment_000918,user_00401,今天的海鲜普通，没什么亮点。,2025-02-05 18:22:42,2025-02-05,豆瓣,147,53,24
comment_003625,user_00977,这个质量太差劲了，没解决我的问题。,2025-02-05 19:30:11,2025-02-05,腾讯视频,86,17,21
comment_004032,user_00988,今天天气很开心，适合看了比赛。,2025-02-05 20:31:49,2025-02-05,百度贴吧,619,279,40
comment_000910,user_00838,星巴克的服务很开心，很满意。,2025-02-05 22:42:43,2025-02-05,豆瓣,965,467,72
comment_001784,user_00382,新的手表很完美，性价比很高。,2025-02-06 01:48:52,2025-02-06,B站,815,67,106
comment_004080,user_00784,这个界面很糟糕，没解决我的问题。,2025-02-06 01:53:05,2025-02-06,小红书,38,14,11
comment_005671,user_00220,今天逛了商场，很出色。,2025-02-06 02:24:01,2025-02-06,爱奇艺,683,249,180
comment_000271,user_00465,腾讯的服务一般，中规中矩。,2025-02-06 03:13:56,2025-02-06,火山小视频,223,39,59
comment_003847,user_00255,这本艺术书很出色，值得一读。,2025-02-06 03:14:46,2025-02-06,抖音,263,0,58
comment_000307,user_00332,终于升职了了，很完美！,2025-02-06 05:52:59,2025-02-06,爱奇艺,963,13,199
comment_005793,user_00367,开发服务很失望，一星差评！,2025-02-06 06:56:21,2025-02-06,映客,49,20,12
comment_004223,user_00436,这个热点一般般，没什么特别的。,2025-02-06 07:25:25,2025-02-06,芒果TV,163,11,0
comment_005450,user_00410,今天学了新技能，一切正常。,2025-02-06 09:13:55,2025-02-06,抖音,415,68,96
comment_004577,user_00762,这个剧院很出色，下次还要来。,2025-02-06 09:22:47,2025-02-06,微博,611,152,5
comment_003010,user_00062,这本参考书普通，可读可不读。,2025-02-06 13:29:35,2025-02-06,今日头条,102,32,2
comment_004794,user_00656,这个机构很不爽，表现很差！,2025-02-06 16:08:53,2025-02-06,微信,90,19,20
comment_005340,user_00530,这部音乐片很惊艳，看得很开心。,2025-02-06 16:09:45,2025-02-06,芒果TV,650,176,7
comment_002487,user_00640,今天天气很生气，影响了计划。,2025-02-06 19:39:33,2025-02-06,抖音,13,4,0
comment_005405,user_00681,运维服务很精彩，五星好评！,2025-02-06 19:57:35,2025-02-06,映客,214,71,14
comment_005470,user_00501,这个功能很优秀，解决了我的问题。,2025-02-06 22:38:05,2025-02-06,B站,291,30,13
comment_000612,user_00817,这个操作普通，可用但不常用。,2025-02-06 23:11:36,2025-02-06,火山小视频,421,186,59
comment_000558,user_00091,今天看了比赛，太棒了。,2025-02-07 01:50:44,2025-02-07,今日头条,637,48,129
comment_001607,user_00564,升职礼物很差，收到很不开心。,2025-02-07 02:21:25,2025-02-07,快手,67,17,15
comment_002002,user_00671,完成了项目很满意，很有意义。,2025-02-07 04:14:55,2025-02-07,微博,324,10,100
comment_000545,user_00857,这个休闲游戏一般般，玩了但没上瘾。,2025-02-07 05:58:07,2025-02-07,映客,376,22,8
comment_005594,user_00990,新的微波炉没什么特别，能用但不算好。,2025-02-07 06:55:04,2025-02-07,微信,345,145,39
comment_003091,user_00082,这个尺寸很生气，没解决我的问题。,2025-02-07 09:08:36,2025-02-07,火山小视频,38,17,6
comment_005883,user_00596,这本文学书很给力，值得一读。,2025-02-07 09:19:13,2025-02-07,知乎,792,157,209
comment_000580,user_00441,今天的蛋糕普通，没什么亮点。,2025-02-07 10:03:07,2025-02-07,小红书,412,122,126
comment_003243,user_00129,终于收到快递了，很完美！,2025-02-07 11:33:34,2025-02-07,西瓜视频,750,320,123
comment_005800,user_00263,百度的服务很失望，太差劲了。,2025-02-07 12:31:44,2025-02-07,西瓜视频,43,7,14
comment_001048,user_00948,这部科幻片寻常，没什么印象。,2025-02-07 12:44:30,2025-02-07,抖音,479,199,92
comment_002749,user_00606,麦当劳的服务寻常，中规中矩。,2025-02-07 13:54:50,2025-02-07,美拍,296,145,62
